CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_ADDRESS1,CUSTOMER_ADDRESS2,CUSTOMER_CITY,CUSTOMER_STATE,CUSTOMER_COUNTRY,CUSTOMER_ZIPCODE,CREATED_BY,CREATION_DATE,LAST_UPDATED_BY,LAST_UPDATE_DATE
1,A2A SPA,VIA TRECELLA 17 ,hello,hell1,CASSANO DADDA,MILANO,ITALY,20062,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
2,ABAN POWER COMPANY LIMITED,9 KARUPPUR VILLAGE [PANDANALLUR],,THIRUVIDAIMARUDHUR TALUK,THANJAVUR,TAMIL NADU,INDIA,609807,ADMIN,4/16/2012,ADMIN,4/16/2012
3,ADAPAZARI ELEKTRIK URETIM LTD STI,54000 ADAPAZARI,TASKIGI MAH. CAYIR TARLA MEVKII,SAKARYA,,TURKEY,,TALEND_2016_12_03_09_57_11,4/16/2012,ADMIN,4/16/2012
4,AEP GENERATING COMPANY, INC,582 W EADS PKWY,,LAWRENCEBURG,IN,UNITED STATES,470251172,TALEND_2016_08_16_10_05_50,4/16/2012,ADMIN,4/16/2012
5,AEP PUBLIC SERVICE CO,HWY 169 88,,OOLOGAH,OK,UNITED STATES,74053,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
6,AGAC SPA,VIA HIROSHIMA 5,,REGGIO EMILIA,REGGIO EMILIA,ITALY,42100,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
7,AIR LIQUIDE AMERICA CORP BAYOU COGENERATION PLANT,11777 BAY AREA BLVD,,PASADENA,TX,UNITED STATES,77507-1341,TALEND_2016_08_16_10_05_50,4/16/2012,ADMIN,4/16/2012
8,AIR LIQUIDE AMERICA LP,2121 PARK ST,,PORT NECHES,TX,UNITED STATES,776513500,TALEND_2016_08_16_10_05_50,4/16/2012,ADMIN,4/16/2012
9,AIR LIQUIDE CANADA INC,55522 ROUTE 214,,FORT SASKATCHEWAN,AB,CANADA,T8L 3T2,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
10,AIR LIQUIDE INDUSTRIAL US LP,36597 HIGHWAY 30,,GEISMAR,LA,UNITED STATES,707343525,TALEND_2017_03_05_09_50_46,4/16/2012,ADMIN,4/16/2012
11,AKENERJI ELEKTRIK URETIM AS,CERKEZKOY SANTRAL, PK 47,,CERKEZKOY,CERKEZKOY,TURKEY,59500,ETL__20140617051246,4/16/2012,ADMIN,4/16/2012
12,AL EZZEL OPERATION & MAINTENANCE COMPANY WLL,AL DUR POWER AND WATER STATION, PO BOX 11734,,MANAMA,,BAHRAIN,,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
13,ALABAMA POWER COMPANY,7910 RANGELINE RD,,THEODORE,AL,UNITED STATES,36582-5216,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
